class	xtl	ytl	xbr	ybr	temporary	occluded	data
5.19.2	1037	905	1061	931	false	true	
5.19.2	6	874	33	900	false	false	
5.32	1317	927	1329	946	false	false	40
8.2.1	1010	941	1043	955	false	false	20 м
3.24	1009	906	1043	939	false	false	20
5.20	1010	871	1043	903	false	false	
3.27	2139	624	2249	733	false	false	
3.27	724	801	799	875	false	false	
5.19.1	378	880	406	909	false	true	
3.24	1493	887	1527	920	false	false	20
5.16	1345	919	1360	941	false	false	
5.19.1	1452	893	1479	919	false	false	
8.2.1	1492	921	1526	937	false	false	20 м
5.20	1495	852	1528	885	false	false	
5.15.1	1314	912	1333	927	false	false	
5.6	1294	932	1306	945	false	false	
2.4	1293	919	1302	930	false	true	
