class	xtl	ytl	xbr	ybr	temporary	occluded	data
5.23.1	1355	958	1401	963	false	true	Малые Вяземы
5.24.1	1355	965	1401	971	false	true	Большие Вяземы
5.19.2	841	955	856	970	false	false	
5.16	726	931	743	956	false	false	
5.19.2	963	842	977	858	false	false	
5.19.1	1260	829	1277	846	false	false	
1.3.1	1315	974	1330	985	false	true	
3.13	1372	969	1387	984	false	false	4,2 м
1.1	1370	951	1389	967	false	false	
5.19.1	1395	942	1410	957	false	false	
6.12	1561	931	1686	977	false	false	
2.4	2173	868	2189	909	false	false	
