class	xtl	ytl	xbr	ybr	temporary	occluded	data
2.4	92	968	98	979	false	false	
5.19.1	1458	907	1489	938	false	false	
5.20	1459	941	1489	972	false	false	
5.20	1345	958	1357	970	false	false	
5.16	1397	937	1414	962	false	false	
5.19.2	1065	911	1096	943	false	false	
8.17	1066	944	1097	959	false	false	
5.20	783	922	863	1003	false	false	
8.17	781	1009	863	1052	false	false	
5.20	111	966	124	978	false	false	
5.19.2	784	835	865	917	false	false	
3.27	1523	890	1562	928	false	false	
8.17	874	922	894	955	false	false	
5.7.2	1157	949	1171	957	false	true	
