1.17	1413	939	1428	957	false	true	
8.2.1	1410	960	1435	971	false	true	100 м
2.4	1352	991	1364	1005	false	true	
8.17	202	983	328	1048	false	true	
6.4	199	848	327	977	false	true	
4.2.1	1263	993	1269	999	false	true	
5.20	1324	992	1335	1002	false	true	
2.4	1374	970	1390	985	false	true	
3.24	1411	973	1437	997	false	true	20
5.20	1341	999	1355	1011	false	true	
8.22.1	1263	1000	1268	1017	false	true	
3.24	1854	807	1960	909	false	true	40
1.17	1852	697	1974	808	false	true	
3.27	1318	995	1323	1003	false	true	
5.19.1	1313	1006	1319	1012	false	true	
4.2.1	1267	1029	1272	1033	false	true	
