class	xtl	ytl	xbr	ybr	temporary	occluded	data
4.1.1	462	944	478	961	false	false	
1.25	458	921	481	942	true	false	
8.24	504	928	523	937	false	false	
3.27	502	908	525	926	false	false	
5.19.2	139	933	158	951	false	false	
5.19.1	507	942	521	958	false	false	
5.19.2	250	917	257	941	false	true	
3.24	502	886	523	906	false	false	30
4.4.1	626	922	641	941	false	false	
5.19.1	771	938	798	962	false	false	
4.1.5	771	902	798	929	false	false	
2.4	765	867	805	899	false	false	
5.19.1	1106	935	1146	976	false	false	
4.1.4	1108	884	1147	923	false	false	
2.4	1102	831	1157	881	false	false	
5.19.1	1368	949	1386	986	false	false	
5.19.2	1253	957	1265	986	false	false	
4.4.1	1255	919	1265	951	false	false	
5.19.2	1064	951	1069	971	false	false	
5.19.1	883	917	894	943	false	false	
3.1	885	946	891	974	false	false	
